source,reference,RNN,EncDec,Additive,Multiplicative
i need a shave .,necesito afeitarme .,necesito una <unk> .,necesito una <unk> .,necesito un <unk> .,necesito una <unk> .
i like your plan .,me gusta tu plan .,me gusta tu plan .,me gusta tu plan .,me gusta tu plan .,me gusta tu plan .
where's the catch ?,dónde está el truco ?,dónde está la la ?,dónde está la playa ?,dónde está la <unk> ?,dónde está la ?
wait out front .,espera fuera .,espera <unk> .,espera <unk> .,espera <unk> .,espera <unk> .
tom grunted .,tom gruñó .,tom <unk> .,tom <unk> .,tom <unk> <unk> .,tom <unk> .
i know that girl .,conozco a esa chica .,sé conozco eso .,conozco a ese .,sé conozco esa chica .,sé ese chica .
they're mine .,ellos son míos .,son míos .,son míos .,son míos .,son míos .
it's a problem .,ese es un problema .,es un <unk> .,es un problema .,es es un problema .,es un problema .
i was dismissed .,fui despedido .,me <unk> .,me <unk> .,yo era <unk> .,me <unk> .
find tom .,encuéntrenlo a tomás .,<unk> a tom .,<unk> a tom .,<unk> a tom .,encuentra a tom .
